Hostname,Host ID,Last Seen,First Seen,Platform,OS Version,Type,Local IP,External IP,MAC Address,Sensor Version,Host Groups,Sensor Tags,Last Logged In User Account,Prevention Policy,Sensor Update Policy,Content Update Policy,Host Retention Policy
SIC_00_4349_21,29372020ccd64fae9cbae70795bc8ebe,2026-02-02T13:04:46Z,2025-08-21T16:07:59Z,Windows,Windows 11,Workstation,10.14.186.50,138.118.2.23,34-73-5a-fc-9d-88,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",raisab4349_21,"Protecao fase 3 - Global Windows
14 Jan 26 06:15 UTC","Windows - Estacoes - Global
14 Jan 26 05:02 UTC","platform_default
21 Aug 25 16:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
25 Aug 25 17:06 UTC"
SIC_00_4349_97,349e5ff855f841a687509501dae31e7e,2026-01-09T20:31:16Z,2024-06-18T14:08:48Z,Windows,Windows 10,Workstation,10.13.142.20,138.118.2.184,40-b8-9a-e8-62-0b,7.31.20309.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",marcias4349_12,"Protecao fase 3 - Global Windows
02 Oct 25 15:32 UTC","Windows - Estacoes - Global
11 Dec 25 20:38 UTC","platform_default
22 Apr 25 11:46 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:40 UTC"
SIC_01_4349_00,7c2dd08151314b9cbdfac02d12c340ed,2026-02-02T13:07:00Z,2025-12-08T20:39:44Z,Windows,Windows 11,Workstation,10.14.28.96,189.75.104.70,fc-4c-ea-eb-a8-03,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/SICOOB-CENTRAL-RONDON-2008,SensorGroupingTags/SICOOB-BURITIS-4349",,"Protecao fase 3 - Global Windows
14 Jan 26 00:08 UTC","Windows - Estacoes - Global
14 Jan 26 00:52 UTC","platform_default
08 Dec 25 20:43 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Dec 25 20:44 UTC"
SIC_01_4349_01,0086b435a90e4d9295d8863cc2864976,2026-02-02T13:22:24Z,2026-01-29T12:30:47Z,Windows,Windows 11,Workstation,10.14.186.51,138.118.2.23,00-be-43-60-6b-2b,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/SICOOB-CENTRAL-RONDON-2008,SensorGroupingTags/SICOOB-BURITIS-4349",lucasz4349_21,"Protecao fase 3 - Global Windows
30 Jan 26 18:22 UTC","Windows - Estacoes - Global
30 Jan 26 18:14 UTC","platform_default
29 Jan 26 12:36 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
29 Jan 26 12:37 UTC"
SIC_01_4349_02,71c768f60be64a2a945825b9272e73c0,2026-02-02T13:03:49Z,2025-03-19T13:46:38Z,Windows,Windows 11,Workstation,10.14.21.51,45.231.20.62,d0-94-66-cf-48-69,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",Stephanyv4349_02,"Protecao fase 3 - Global Windows
14 Jan 26 11:14 UTC","Windows - Estacoes - Global
14 Jan 26 11:14 UTC","platform_default
17 Apr 25 15:19 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
19 Mar 25 13:47 UTC"
SIC_01_4349_03,bffdc990bfea4d1dbda969d8896f1de0,2026-02-02T13:00:42Z,2025-03-11T20:52:21Z,Windows,Windows 11,Workstation,10.14.28.52,189.75.104.70,f4-ee-08-e4-7d-9a,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/SICOOB-CENTRAL-RONDON-2008,SensorGroupingTags/SICOOB-BURITIS-4349",anal4349_00,"Protecao fase 3 - Global Windows
14 Jan 26 12:10 UTC","Windows - Estacoes - Global
14 Jan 26 12:12 UTC","platform_default
17 Apr 25 00:17 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
11 Mar 25 20:56 UTC"
SIC_01_4349_04,3fd77824d2a34d87b459cf541d36dc45,2026-02-02T12:32:36Z,2025-12-12T13:19:15Z,Windows,Windows 11,Workstation,10.14.64.71,45.236.214.206,d4-a2-cd-80-68-f3,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/SICOOB-CENTRAL-RONDON-2008,SensorGroupingTags/SICOOB-BURITIS-4349",,"Protecao fase 3 - Global Windows
23 Jan 26 11:25 UTC","Windows - Estacoes - Global
23 Jan 26 11:32 UTC","platform_default
12 Dec 25 13:27 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
12 Dec 25 13:28 UTC"
SIC_01_4349_04,ab969876bdb9489b9fc6214aee6b1061,2026-02-02T13:04:00Z,2026-01-26T13:54:41Z,Windows,Windows 10,Workstation,10.14.21.58,45.231.20.62,d0-94-66-a7-fa-ed,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",,"Protecao fase 3 - Global Windows
26 Jan 26 14:09 UTC","Windows - Estacoes - Global
26 Jan 26 14:09 UTC","platform_default
26 Jan 26 13:56 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
26 Jan 26 13:58 UTC"
SIC_01_4349_05,5d2a431fcfdf41e28123a87694c9f46b,2026-02-02T13:03:25Z,2025-09-09T12:32:31Z,Windows,Windows 11,Workstation,10.14.24.50,177.130.29.68,00-be-43-c7-5a-9a,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",luizm4349_05,"Protecao fase 3 - Global Windows
14 Jan 26 11:23 UTC","Windows - Estacoes - Global
14 Jan 26 11:45 UTC","platform_default
09 Sep 25 12:35 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
02 Oct 25 11:17 UTC"
SIC_01_4349_06,fecac9ed748343ae810d737330ca3c7c,2026-02-02T13:26:17Z,2025-08-13T18:03:25Z,Windows,Windows 11,Workstation,10.14.28.75,189.75.104.70,d0-94-66-b4-5b-fa,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",eliasj4349_00,"Protecao fase 3 - Global Windows
14 Jan 26 11:59 UTC","Windows - Estacoes - Global
14 Jan 26 12:05 UTC","platform_default
13 Aug 25 18:08 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Aug 25 18:08 UTC"
SIC_01_4349_08,f218476f7ac64cb896da668c5c791612,2026-02-02T13:05:59Z,2023-11-27T11:55:16Z,Windows,Windows 11,Workstation,10.14.28.61,189.75.104.70,d0-94-66-d9-a6-54,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",sthefanis4349_00,"Protecao fase 3 - Global Windows
14 Jan 26 12:17 UTC","Windows - Estacoes - Global
14 Jan 26 12:04 UTC","platform_default
17 Apr 25 11:35 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:44 UTC"
SIC_01_4349_09,7ea2b94a28af4b918c20e05e011176d5,2026-01-26T17:12:39Z,2026-01-12T13:05:39Z,Windows,Windows 11,Workstation,10.14.74.52,190.111.171.216,d0-94-66-d9-ac-fa,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",,"Protecao fase 3 - Global Windows
15 Jan 26 13:24 UTC","Windows - Estacoes - Global
15 Jan 26 13:26 UTC","platform_default
12 Jan 26 13:06 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
12 Jan 26 13:07 UTC"
SIC_01_4349_10,0bf1666a8b344f83aa1c71a60bafd629,2026-01-27T14:14:59Z,2024-09-16T11:21:51Z,Windows,Windows 10,Workstation,10.14.188.55,45.231.20.47,00-be-43-c6-eb-07,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",thalesd4349_10,"Protecao fase 3 - Global Windows
16 Jan 26 18:06 UTC","Windows - Estacoes - Global
27 Jan 26 14:15 UTC","platform_default
17 Apr 25 09:03 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
16 Sep 24 11:23 UTC"
SIC_01_4349_12,dfce30e480fb4305a49e1e4cc8c45b46,2026-02-02T11:11:39Z,2025-12-11T19:30:30Z,Windows,Windows 11,Workstation,10.215.0.2,179.220.74.228,00-09-0f-fe-00-01,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/SICOOB-CENTRAL-RONDON-2008,SensorGroupingTags/SICOOB-BURITIS-4349",marcias4349_12,"Protecao fase 3 - Global Windows
14 Jan 26 14:44 UTC","Windows - Estacoes - Global
14 Jan 26 15:03 UTC","platform_default
11 Dec 25 19:33 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
11 Dec 25 19:41 UTC"
SIC_01_4349_13,a8664e2e00634abca7df60ccbd80bc5f,2026-01-30T20:16:46Z,2023-11-01T19:18:00Z,Windows,Windows 10,Workstation,10.14.141.51,45.169.196.245,00-be-43-c7-5a-8f,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",kauannev4349_11,"Protecao fase 3 - Global Windows
14 Jan 26 11:18 UTC","Windows - Estacoes - Global
14 Jan 26 11:28 UTC","platform_default
17 Apr 25 11:08 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:35 UTC"
SIC_01_4349_17,1b5158edb4854db59a3c793f16333ff6,2026-02-02T13:27:25Z,2023-11-01T19:34:05Z,Windows,Windows 10,Workstation,10.14.140.50,168.228.39.103,a4-bb-6d-24-ff-61,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",lorraynes4349_17,"Protecao fase 3 - Global Windows
14 Jan 26 00:06 UTC","Windows - Estacoes - Global
14 Jan 26 00:40 UTC","platform_default
17 Apr 25 09:03 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:42 UTC"
SIC_01_4349_18,d8121dd746044cf2895a0f14acaf7ec9,2026-02-02T13:12:05Z,2025-08-01T18:36:00Z,Windows,Windows 10,Workstation,10.14.192.52,177.23.184.152,74-86-e2-db-d2-b0,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",juscelinao4349_18,"Protecao fase 3 - Global Windows
14 Jan 26 11:24 UTC","Windows - Estacoes - Global
14 Jan 26 11:54 UTC","platform_default
01 Aug 25 18:39 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
04 Aug 25 11:07 UTC"
SIC_01_4349_19,c73593d618a744c79a2e6fd0475b6891,2026-02-02T13:26:20Z,2023-12-07T16:38:14Z,Windows,Windows 11,Workstation,10.14.191.50,179.48.65.201,6c-3c-8c-1b-9c-81,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",yasmind4349_19,"Protecao fase 3 - Global Windows
14 Jan 26 11:19 UTC","Windows - Estacoes - Global
14 Jan 26 11:19 UTC","platform_default
17 Apr 25 11:29 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:37 UTC"
SIC_01_4349_21,5864658d40064c47ac719cfc1a993a9b,2026-02-02T12:59:27Z,2025-08-18T14:33:01Z,Windows,Windows 11,Workstation,192.168.1.20,38.3.209.106,00-d7-6d-6e-a0-d2,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/SICOOB-CENTRAL-RONDON-2008,SensorGroupingTags/SICOOB-BURITIS-4349",elisac4349_00,"Protecao fase 3 - Global Windows
14 Jan 26 12:18 UTC","Windows - Estacoes - Global
14 Jan 26 12:26 UTC","platform_default
18 Aug 25 14:38 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Aug 25 14:39 UTC"
SIC_01_4349_21,b8f55c03ccd8466d81246ce95be73950,2026-01-05T17:48:40Z,2026-01-05T17:48:40Z,Windows,Windows 11,Workstation,192.168.1.87,138.118.1.31,6c-3c-8c-1b-9c-78,7.21.19205.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",,"Protecao fase 3 - Global Windows
05 Jan 26 17:50 UTC",No policy,"platform_default
05 Jan 26 17:50 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
05 Jan 26 17:50 UTC"
SIC_01_4349_97,0afb965de5394580b3d5013a0299e880,2026-02-02T12:52:15Z,2024-07-16T12:38:12Z,Windows,Windows 10,Workstation,10.14.93.64,138.118.3.55,00-be-43-c8-1f-58,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",karinas4349_97,"Protecao fase 3 - Global Windows
14 Jan 26 12:02 UTC","Windows - Estacoes - Global
14 Jan 26 12:04 UTC","platform_default
17 Apr 25 11:52 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:50 UTC"
SIC_02_4349_00,375eac9e8f9c4c58859be32d10c4b7ca,2026-02-02T13:16:30Z,2024-06-18T15:02:46Z,Windows,Windows 10,Workstation,10.14.74.62,190.111.171.216,d0-94-66-cb-3c-4f,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",ruanc4349_09,"Protecao fase 3 - Global Windows
26 Jan 26 10:50 UTC","Windows - Estacoes - Global
26 Jan 26 10:55 UTC","platform_default
17 Apr 25 10:49 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:20 UTC"
SIC_02_4349_01,b2a4441141c74e00b8962aa6b67df494,2026-02-02T13:14:12Z,2025-03-07T18:38:02Z,Windows,Windows 10,Workstation,192.168.46.3,138.118.3.62,5c-cd-5b-f8-52-8c,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",giulian4349_01,"Protecao fase 3 - Global Windows
14 Jan 26 12:07 UTC","Windows - Estacoes - Global
14 Jan 26 12:09 UTC","platform_default
17 Apr 25 12:09 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Mar 25 18:43 UTC"
SIC_02_4349_03,b57bf2dda0c4498895a42a797c3db148,2026-02-02T13:11:41Z,2025-03-14T13:22:05Z,Windows,Windows 10,Workstation,10.14.93.62,138.118.3.55,d0-94-66-b1-59-40,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",higork4349_03,"Protecao fase 3 - Global Windows
14 Jan 26 11:59 UTC","Windows - Estacoes - Global
14 Jan 26 12:00 UTC","platform_default
17 Apr 25 12:00 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
14 Mar 25 13:26 UTC"
SIC_02_4349_04,f0d27a3de3ca41529ce8051cb7a99516,2026-01-29T19:47:15Z,2024-02-19T15:35:26Z,Windows,Windows 10,Workstation,10.14.64.62,45.236.214.206,34-73-5a-fc-9f-20,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",cleomarm4349_04,"Protecao fase 3 - Global Windows
14 Jan 26 12:34 UTC","Windows - Estacoes - Global
14 Jan 26 12:36 UTC","platform_default
17 Apr 25 11:03 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:42 UTC"
SIC_02_4349_06,e24b988a4da1475c8cd8f0255078c22f,2026-02-02T13:13:53Z,2025-06-17T18:18:27Z,Windows,Windows 11,Workstation,10.14.28.94,189.75.104.70,d0-94-66-ce-00-67,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",hellens4349_00,"Protecao fase 3 - Global Windows
14 Jan 26 00:44 UTC","Windows - Estacoes - Global
14 Jan 26 01:56 UTC","platform_default
18 Jun 25 13:22 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Jun 25 13:22 UTC"
SIC_02_4349_07,763f4124aed04334a22917b9c95c06d4,2026-02-02T13:15:54Z,2025-10-15T16:14:11Z,Windows,Windows 10,Workstation,10.14.94.51,45.231.20.46,00-be-43-c8-1e-44,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",adrielb4349_07,"Protecao fase 3 - Global Windows
14 Jan 26 11:14 UTC","Windows - Estacoes - Global
14 Jan 26 11:44 UTC","platform_default
15 Oct 25 16:18 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
15 Oct 25 16:22 UTC"
SIC_02_4349_08,75c12116628c4d1189d415165b033fc2,2026-02-02T13:22:43Z,2025-03-12T11:22:52Z,Windows,Windows 10,Workstation,10.14.75.58,138.118.2.250,d0-94-66-d9-ac-cb,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",gesyanel4349_08,"Protecao fase 3 - Global Windows
14 Jan 26 11:53 UTC","Windows - Estacoes - Global
14 Jan 26 11:56 UTC","platform_default
17 Apr 25 11:45 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
12 Mar 25 11:31 UTC"
SIC_02_4349_09,f5a047b786944f69a2fff0efdfb86777,2026-01-31T01:57:33Z,2024-09-20T12:41:50Z,Windows,Windows 11,Workstation,10.14.74.50,190.111.171.216,d0-94-66-d9-95-7d,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",ernandesf4349_09,"Protecao fase 3 - Global Windows
14 Jan 26 11:27 UTC","Windows - Estacoes - Global
14 Jan 26 12:29 UTC","platform_default
22 Apr 25 11:00 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
20 Sep 24 12:51 UTC"
SIC_02_4349_10,4d65ebec1da1475684da5edc857f50ff,2026-02-02T13:26:15Z,2024-10-29T20:58:57Z,Windows,Windows 10,Workstation,192.168.137.1,45.231.20.47,5e-cd-5b-9e-57-2d,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",calistona4349_10,"Protecao fase 3 - Global Windows
14 Jan 26 22:15 UTC","Windows - Estacoes - Global
14 Jan 26 22:15 UTC","platform_default
17 Apr 25 12:14 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
29 Oct 24 20:59 UTC"
SIC_02_4349_13,e6d6bbbd7e694a43badc17231b617daf,2026-02-02T13:02:02Z,2024-03-21T12:29:58Z,Windows,Windows 10,Workstation,192.168.94.2,45.231.20.46,5c-cd-5b-ea-3c-4c,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",alessandraf4349_07,"Protecao fase 3 - Global Windows
14 Jan 26 14:39 UTC","Windows - Estacoes - Global
15 Jan 26 12:11 UTC","platform_default
17 Apr 25 11:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
12 Aug 24 11:05 UTC"
SIC_02_4349_14,ee4ae45d5e20421dae9f7db0e640bf35,2026-02-02T13:12:18Z,2025-05-29T16:57:50Z,Windows,Windows 10,Workstation,10.14.144.50,45.236.213.225,8c-04-ba-a5-b1-4d,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",laraf4349_14,"Protecao fase 3 - Global Windows
14 Jan 26 11:59 UTC","Windows - Estacoes - Global
14 Jan 26 11:39 UTC","platform_default
09 Jun 25 19:58 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
10 Jun 25 13:05 UTC"
SIC_02_4349_15,8a4a887c477d4c51af7ef6eaaa843d45,2026-02-02T13:13:31Z,2024-07-22T14:47:32Z,Windows,Windows 10,Workstation,10.14.193.51,201.140.221.21,00-be-43-ec-b1-01,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",lidialinep4349_15,"Protecao fase 3 - Global Windows
14 Jan 26 12:05 UTC","Windows - Estacoes - Global
14 Jan 26 13:05 UTC","platform_default
17 Apr 25 12:07 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:26 UTC"
SIC_02_4349_17,15db62a7bbec49dab7895e1b25bdc336,2026-01-16T19:10:09Z,2026-01-16T18:14:19Z,Windows,Windows 11,Workstation,10.14.28.102,189.75.104.70,d0-94-66-a9-fa-2f,7.16.18608.0,Estacoes-4349,"SensorGroupingTags/SICOOB-CENTRAL-RONDON-2008,SensorGroupingTags/SICOOB-BURITIS-4349",pedrom4349_00,"Protecao fase 3 - Global Windows
16 Jan 26 18:23 UTC",No policy,"platform_default
16 Jan 26 18:17 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
16 Jan 26 18:17 UTC"
